id,iata,supplier,period,price_usc_per_gallon,price_dollar_per_tonne
2713,VIE,AEG,PM,279.53432482475455,923.0782474363044
3018,VLC,Ist Jet,PM,262.68544147691796,867.4398648450784
2532,VNO,Total,PM,294.9436438331089,973.9629006656922
2716,VRN,AEG,PM,265.7039818695587,877.4076889296566
2717,VXO,AEG,PW,763.9539311715164,2522.7286715145815
2470,WAW,CAC,PW,256.0150034397902,845.4127443588751
2846,WRO,WF,PW,444.9595,1469.3452609
2720,XRY,AEG,PM,277.68831835135757,916.982364859853
2721,ZAD,AEG,PW,262.57592305638286,867.0782131167875
3358,ZAG,Air BP,PW,253.80285148812396,838.1077761840829
2723,ZAZ,AEG,PM,267.1914465223091,882.319594705969
2890,ZNZ,Royal Petrol,PM,424.7135430250712,1402.4890617773901
2359,ZRH,UCIG,PM,264.9462388885072,874.9054700576285
2320,ZTH,UCIG,1/2M,288.21077719618677,951.7296284572479
