supplier,iata,offer_platts,offer_period,valid_since,valid_until
Air BP,LUX,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,LYS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MAD,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MLH,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MRS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,MUC,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,NCE,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,NUE,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,OPO,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,PFO,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,PMI,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,POZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,PVK,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,RHO,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SHJ,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
Air BP,SKG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SPU,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,STN,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
Air BP,STR,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,SVQ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TFN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TFS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TLS,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,TLV,Market price,MP,2025-03-13,2025-03-31
Air BP,VLC,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,VXO,Market price,MP,2025-03-13,2025-03-31
Air BP,WAW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,XRY,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAG,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZAZ,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZRH,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
Air BP,ZTH,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
