id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
117,AEG-MLE,2023-02-08,2024-03-31,AEG,MLE,4.323379,USD,gallion.USG.UGL,,432.3379
118,AEG-MRU,2021-01-04,2022-03-31,AEG,MRU,1000,USD,gallion.USG.UGL,,100000.0
119,AEG-MRV,2023-01-10,2024-03-31,AEG,MRV,2.9325,USD,gallion.USG.UGL,,293.25
120,AEG-MSQ,2021-01-04,2022-03-31,AEG,MSQ,810,USD,mTon,,245.2941892841847
121,AEG-MVR,2021-01-04,2022-03-31,AEG,MVR,785,USD,mTon,,237.72338097294445
122,AEG-NAV,2020-01-02,2021-03-31,AEG,NAV,2.3259,USD,gallion.USG.UGL,,232.58999999999997
123,AEG-NCE,2022-03-22,2023-03-31,AEG,NCE,4.1192,USD,gallion.USG.UGL,,411.92
124,AEG-NHD,2021-01-04,2022-03-31,AEG,NHD,3.3455,USD,gallion.USG.UGL,,334.55
125,AEG-NQZ,2023-03-28,2024-03-31,AEG,NQZ,1557.725,USD,mTon,,471.7294950650699
126,AEG-NRN,2022-10-22,2023-03-31,AEG,NRN,4.5621,USD,gallion.USG.UGL,,456.21
127,AEG-ODS,2023-03-28,2024-03-31,AEG,ODS,1165.289,EUR,mTon,,324.07676173007115
128,AEG-OMO,2023-06-09,2024-03-31,AEG,OMO,3.7605,USD,gallion.USG.UGL,,376.05
129,AEG-OSR,2023-10-05,2024-03-31,AEG,OSR,3.070201,USD,gallion.USG.UGL,,307.0201
130,AEG-OUA,2022-01-03,2023-03-31,AEG,OUA,2.809157,USD,gallion.USG.UGL,,280.9157
131,AEG-PAD,2023-01-08,2024-03-31,AEG,PAD,5.998093,USD,gallion.USG.UGL,,599.8093
132,AEG-PED,2023-07-25,2024-03-31,AEG,PED,4.333985,USD,gallion.USG.UGL,,433.3985
133,AEG-PEK,2020-09-04,2021-03-31,AEG,PEK,1.9828,USD,gallion.USG.UGL,,198.28
134,AEG-PHC,2023-03-28,2024-03-31,AEG,PHC,3.7985,USD,gallion.USG.UGL,,379.85
135,AEG-PMO,2020-01-04,2021-03-31,AEG,PMO,2.2921,USD,gallion.USG.UGL,,229.21
136,AEG-PRN,2023-03-28,2024-03-31,AEG,PRN,1.1264,EUR,litter.L,,391.5775405710644
137,AEG-PSA,2021-01-08,2022-03-31,AEG,PSA,2.2206,USD,gallion.USG.UGL,,222.06
138,AEG-PVG,2020-01-06,2021-03-31,AEG,PVG,309.59,USD,mTon,,93.75386180307498
139,AEG-RHO,2020-07-10,2021-03-31,AEG,RHO,1.3583,USD,gallion.USG.UGL,,135.83
140,AEG-RIX,2023-02-05,2024-03-31,AEG,RIX,2.87243,USD,gallion.USG.UGL,,287.243
141,AEG-RNS,2023-03-16,2024-03-31,AEG,RNS,4.4875,USD,gallion.USG.UGL,,448.75
142,AEG-RUH,2021-01-07,2022-03-31,AEG,RUH,2.04472,USD,gallion.USG.UGL,,204.47199999999998
143,AEG-RVN,2023-10-05,2024-03-31,AEG,RVN,4.110139,USD,gallion.USG.UGL,,411.01390000000004
144,AEG-RZE,2022-08-03,2023-03-31,AEG,RZE,3.572864,USD,gallion.USG.UGL,,357.2864
145,AEG-SBZ,2020-04-15,2021-03-31,AEG,SBZ,2.3647,USD,gallion.USG.UGL,,236.47
146,AEG-SCV,2020-07-09,2021-03-31,AEG,SCV,1.7906,USD,gallion.USG.UGL,,179.06
147,AEG-SEN,2023-06-09,2024-03-31,AEG,SEN,4.0048,USD,gallion.USG.UGL,,400.48
148,AEG-SGN,2020-01-06,2021-03-31,AEG,SGN,0.8861,USD,gallion.USG.UGL,,88.61
149,AEG-SKG,2022-01-03,2023-03-31,AEG,SKG,0.1,USD,gallion.USG.UGL,,10.0
150,AEG-SKP,2021-01-04,2022-03-31,AEG,SKP,630,USD,M3.1000L,,238.48094235421857
151,AEG-SLD,2020-01-04,2021-03-31,AEG,SLD,1232.23,EUR,mTon,,342.6936220170666
152,AEG-SLL,2022-01-03,2023-03-31,AEG,SLL,4.32273,USD,gallion.USG.UGL,,432.273
153,AEG-SSH,2021-01-04,2022-03-31,AEG,SSH,2.1465,USD,gallion.USG.UGL,,214.65
