id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
2191,AEG-KRK,2021-09-14,2021-09-20,AEG,KRK,2.309604,USD,gallion.USG.UGL,,230.96040000000002
2192,AEG-RZE,2021-09-14,2021-09-20,AEG,RZE,2.92443,USD,gallion.USG.UGL,,292.443
2193,AEG-WRO,2021-09-14,2021-09-20,AEG,WRO,2.914008,USD,gallion.USG.UGL,,291.4008
2194,AEG-ASB,2021-01-09,2021-09-15,AEG,ASB,763.149959,USD,mTon,,231.1064820927948
2195,Shannon-AER,2021-01-09,2021-01-09,Shannon,AER,653.03218,EUR,mTon,,181.61379211502805
2196,Shannon-KRR,2021-01-09,2021-01-09,Shannon,KRR,642.03218,EUR,mTon,,178.55459874837757
2197,Jetex-AER,2021-01-09,2021-01-09,Jetex,AER,653.03218,EUR,mTon,,181.61379211502805
2198,Jetex-KRR,2021-01-09,2021-01-09,Jetex,KRR,642.03218,EUR,mTon,,178.55459874837757
2199,Jetex-MSQ,2021-01-09,2021-01-09,Jetex,MSQ,936.55629,USD,mTon,,283.61952577105404
2200,Total-CAI,2021-09-16,2021-09-16,Total,CAI,205,USDC,gallion.USG.UGL,,188.2633850674993
2201,Total-RMF,2021-09-16,2021-09-21,Total,RMF,332,USDC,gallion.USG.UGL,,304.89484801175496
2202,Total-SSH,2021-09-16,2021-09-21,Total,SSH,236,USDC,gallion.USG.UGL,,216.73248232160896
2203,WF-LXR,2021-09-16,2021-09-16,WF,LXR,236.65,USDC,gallion.USG.UGL,,217.32941500596934
2204,Royal Petrol-HRG,2021-09-18,2021-09-26,Royal Petrol,HRG,2.3465,USD,gallion.USG.UGL,,234.64999999999998
2205,Total-CAI,2021-09-22,2021-04-10,Total,CAI,211,USDC,gallion.USG.UGL,,193.77353292313344
2206,Total-RMF,2021-09-22,2021-04-10,Total,RMF,338,USDC,gallion.USG.UGL,,310.4049958673891
2207,Total-SSH,2021-09-22,2021-04-10,Total,SSH,242,USDC,gallion.USG.UGL,,222.2426301772431
2208,AEG-PED,2021-09-21,2021-09-27,AEG,PED,2.964013,USD,gallion.USG.UGL,,296.4013
2209,AEG-GAN,2021-01-09,2021-09-30,AEG,GAN,3.371424,USD,gallion.USG.UGL,,337.1424
2210,AEG-KRK,2021-09-21,2021-09-27,AEG,KRK,2.364872,USD,gallion.USG.UGL,,236.4872
2211,AEG-RZE,2021-09-21,2021-09-21,AEG,RZE,2.921357,USD,gallion.USG.UGL,,292.1357
2212,AEG-WRO,2021-09-21,2021-09-21,AEG,WRO,2.931527,USD,gallion.USG.UGL,,293.1527
2213,AEG-ASB,2021-09-16,2021-09-16,AEG,ASB,763.149959,USD,mTon,,231.1064820927948
2214,WF-SLL,2023-05-09,2021-11-30,WF,SLL,4.625,USD,gallion.USG.UGL,,462.5
2215,WF-SLL,2021-09-16,2021-09-30,WF,SLL,2.92574,USD,gallion.USG.UGL,,292.57399999999996
2216,WF-MCT,2021-09-16,2021-09-16,WF,MCT,2.10274,USD,gallion.USG.UGL,,210.27399999999997
2217,Jetex-SLL,2021-01-10,2022-03-31,Jetex,SLL,2.137,USD,gallion.USG.UGL,,213.7
2218,Jetex-SLL,2021-09-16,2021-09-30,Jetex,SLL,2.137,USD,gallion.USG.UGL,,213.7
2219,Jetex-MCT,2021-09-16,2021-09-30,Jetex,MCT,2.10274,USD,gallion.USG.UGL,,210.27399999999997
2220,Royal Petrol-HRG,2021-09-27,2021-04-10,Royal Petrol,HRG,2.4065,USD,gallion.USG.UGL,,240.64999999999998
2221,WF-LXR,2021-09-22,2021-04-10,WF,LXR,242.65,USDC,gallion.USG.UGL,,222.83956286160347
2222,AEG-PED,2021-09-28,2021-04-10,AEG,PED,2.964013,USD,gallion.USG.UGL,,296.4013
2223,AEG-KRK,2021-09-28,2021-04-10,AEG,KRK,2.41272,USD,gallion.USG.UGL,,241.27200000000002
2224,AEG-RZE,2021-09-28,2021-04-10,AEG,RZE,2.998208,USD,gallion.USG.UGL,,299.8208
2225,AEG-WRO,2021-09-28,2021-04-10,AEG,WRO,3.008322,USD,gallion.USG.UGL,,300.8322
2226,WF-LXR,2021-05-10,2021-10-17,WF,LXR,253.65,USDC,gallion.USG.UGL,,232.94150059693268
2227,Royal Petrol-NHD,2021-01-10,2021-10-31,Royal Petrol,NHD,4.3535,USD,gallion.USG.UGL,,435.35
2228,Total-CAI,2021-05-10,2021-10-17,Total,CAI,221,USDC,gallion.USG.UGL,,202.95711268252364
2229,Total-RMF,2021-05-10,2021-10-17,Total,RMF,349,USDC,gallion.USG.UGL,,320.50693360271833
2230,Total-SSH,2021-05-10,2021-10-17,Total,SSH,253,USDC,gallion.USG.UGL,,232.34456791257233
2231,Royal Petrol-HRG,2021-05-10,2021-10-17,Royal Petrol,HRG,2.4915,USD,gallion.USG.UGL,,249.14999999999998
2232,AEG-MIR,2021-01-10,2021-10-31,AEG,MIR,2.523515,USD,gallion.USG.UGL,,252.35150000000002
2233,AEG-BIQ,2021-01-10,2021-10-31,AEG,BIQ,4.246324,USD,gallion.USG.UGL,,424.6324
2234,AEG-PED,2021-12-10,2021-12-10,AEG,PED,3.207172,USD,gallion.USG.UGL,,320.7172
2235,AEG-AQJ,2021-01-10,2021-01-10,AEG,AQJ,2.602134,USD,gallion.USG.UGL,,260.2134
2236,AEG-MLE,2021-01-10,2021-01-10,AEG,MLE,3.73272,USD,gallion.USG.UGL,,373.272
2237,AEG-GAN,2021-01-10,2021-01-10,AEG,GAN,3.371424,USD,gallion.USG.UGL,,337.1424
2238,AEG-KRK,2021-12-10,2021-10-18,AEG,KRK,2.641514,USD,gallion.USG.UGL,,264.15139999999997
2239,AEG-RZE,2021-05-10,2021-05-10,AEG,RZE,3.131099,USD,gallion.USG.UGL,,313.1099
2240,AEG-WRO,2021-05-10,2021-05-10,AEG,WRO,3.131099,USD,gallion.USG.UGL,,313.1099
2241,AEG-ASB,2021-06-10,2021-06-10,AEG,ASB,762.150008,USD,mTon,,230.8036645991295
2242,AEG-MLA,2021-09-13,2021-09-13,AEG,MLA,2.7214,USD,gallion.USG.UGL,,272.14
2243,WF-MBX,2021-01-10,2021-01-10,WF,MBX,2.93196,USD,gallion.USG.UGL,,293.196
2244,WF-SEZ,2021-01-10,2021-10-31,WF,SEZ,2.70548,USD,gallion.USG.UGL,,270.548
2245,WF-ZNZ,2021-01-10,2021-02-12,WF,ZNZ,3.9516,USD,gallion.USG.UGL,,395.16
2246,WF-JIB,2021-01-10,2021-01-10,WF,JIB,2.85278,USD,gallion.USG.UGL,,285.278
2247,Total-CAI,2021-10-18,2021-10-26,Total,CAI,236,USDC,gallion.USG.UGL,,216.73248232160896
2248,Total-RMF,2021-10-18,2021-10-26,Total,RMF,363,USDC,gallion.USG.UGL,,333.36394526586463
2249,Total-SSH,2021-10-18,2021-10-26,Total,SSH,267,USDC,gallion.USG.UGL,,245.20157957571863
2250,Royal Petrol-HRG,2021-10-18,2021-10-26,Royal Petrol,HRG,2.6565,USD,gallion.USG.UGL,,265.65
2251,WF-LXR,2021-10-18,2021-10-26,WF,LXR,267.65,USDC,gallion.USG.UGL,,245.79851226007895
2252,Shannon-GYD,2021-10-19,2021-10-19,Shannon,GYD,985,USD,mTon,,298.2898474628666
2253,Shannon-EVN,2021-10-16,2021-10-31,Shannon,EVN,1092,USD,mTon,,330.69290703497495
2254,Shannon--KBP,2021-10-19,2021-10-19,Shannon ,KBP,883,USD,mTon,,267.4009495530063
2255,Shannon-DNK,2021-10-19,2021-10-19,Shannon,DNK,918,USD,mTon,,278.0000811887427
2256,Shannon-HRK,2021-10-19,2021-10-19,Shannon,HRK,993,USD,mTon,,300.7125061224635
2257,Shannon-ROV,2021-10-19,2021-10-19,Shannon,ROV,677,EUR,mTon,,188.2794462929438
2258,Shannon-KUF,2021-10-19,2021-10-19,Shannon,KUF,655,EUR,mTon,,182.1610595596428
2259,Jetex-AER,2021-10-11,2021-10-11,Jetex,AER,675.27562,EUR,mTon,,187.79988157861789
2260,Jetex-KRR,2021-10-11,2021-10-11,Jetex,KRR,657.27562,EUR,mTon,,182.79392879682618
2261,AEG-PED,2021-10-19,2021-10-25,AEG,PED,3.295101,USD,gallion.USG.UGL,,329.51009999999997
2262,AEG-GAN,2021-10-18,2021-10-18,AEG,GAN,3.445088,USD,gallion.USG.UGL,,344.5088
2263,AEG-ASM,2021-10-01,2021-10-31,AEG,ASM,3.15351,USD,gallion.USG.UGL,,315.351
2264,AEG-KRK,2021-10-19,2021-10-25,AEG,KRK,2.704807,USD,gallion.USG.UGL,,270.4807
2265,AEG-RZE,2021-10-19,2021-10-19,AEG,RZE,3.356689,USD,gallion.USG.UGL,,335.6689
2266,AEG-WRO,2021-10-19,2021-10-19,AEG,WRO,3.356689,USD,gallion.USG.UGL,,335.6689
2267,Royal Petrol-JED,2021-10-22,2021-10-22,Royal Petrol,JED,229.45,USDC,gallion.USG.UGL,,210.71723757920836
2268,AEG-MLE,2021-10-26,2021-10-26,AEG,MLE,3.3428,USD,gallion.USG.UGL,,334.28
2269,Total-CAI,2021-10-27,2021-02-11,Total,CAI,246,USDC,gallion.USG.UGL,,225.91606208099918
2270,Total-RMF,2021-10-27,2021-02-11,Total,RMF,374,USDC,gallion.USG.UGL,,343.46588300119384
2271,Total-SSH,2021-10-27,2021-02-11,Total,SSH,277,USDC,gallion.USG.UGL,,254.38515933510882
2272,AEG-PED,2021-10-26,2021-01-11,AEG,PED,3.245861,USD,gallion.USG.UGL,,324.5861
2273,AEG-KRK,2021-10-26,2021-01-11,AEG,KRK,2.727217,USD,gallion.USG.UGL,,272.7217
2274,AEG-RZE,2021-10-26,2021-01-11,AEG,RZE,3.346683,USD,gallion.USG.UGL,,334.6683
2275,WF-LXR,2021-10-27,2021-02-11,WF,LXR,277.65,USDC,gallion.USG.UGL,,254.98209201946918
2276,Total-ASW,2022-03-25,2022-03-31,Total,ASW,345.65,USDC,gallion.USG.UGL,,317.4304343833226
2277,Total-ASW,2021-10-22,2021-10-22,Total,ASW,264.65,USDC,gallion.USG.UGL,,243.0434383322619
2278,Royal Petrol-HRG,2021-10-27,2021-02-11,Royal Petrol,HRG,2.7565,USD,gallion.USG.UGL,,275.65
2279,Royal Petrol-NHD,2021-11-01,2021-11-01,Royal Petrol,NHD,4.867,USD,gallion.USG.UGL,,486.7
2280,Total-CAI,2021-11-03,2021-11-03,Total,CAI,245,USDC,gallion.USG.UGL,,224.99770410506014
2281,Total-RMF,2021-11-03,2021-11-03,Total,RMF,374,USDC,gallion.USG.UGL,,343.46588300119384
2282,Total-SSH,2021-11-03,2021-11-14,Total,SSH,277,USDC,gallion.USG.UGL,,254.38515933510882
2283,Jetex-AER,2021-11-11,2021-11-11,Jetex,AER,735.30151,EUR,mTon,,204.4935910800081
2284,Jetex-KRR,2021-11-11,2021-10-12,Jetex,KRR,724.30151,EUR,mTon,,201.43439771335758
2285,Jetex-MSQ,2021-11-04,2021-04-11,Jetex,MSQ,996.55629,USD,mTon,,301.7894657180307
2286,AEG-MIR,2021-11-01,2021-11-30,AEG,MIR,2.78857,USD,gallion.USG.UGL,,278.85699999999997
2287,AEG-PED,2021-11-02,2021-08-11,AEG,PED,3.33379,USD,gallion.USG.UGL,,333.379
2288,AEG-AQJ,2021-11-01,2021-11-30,AEG,AQJ,2.927818,USD,gallion.USG.UGL,,292.7818
2289,AEG-MLE,2021-11-01,2021-01-11,AEG,MLE,4.103652,USD,gallion.USG.UGL,,410.3652
2290,AEG-KRK,2021-11-02,2021-08-11,AEG,KRK,2.7201,USD,gallion.USG.UGL,,272.01
2291,Shannon-GYD,2021-11-01,2021-11-15,Shannon,GYD,985,USD,mTon,,298.2898474628666
2292,Shannon-EVN,2021-11-01,2021-11-15,Shannon,EVN,1095,USD,mTon,,331.6014040323238
2293,Shannon--KBP,2021-11-01,2021-11-15,Shannon ,KBP,904,USD,mTon,,273.7604285344481
2294,Shannon-DNK,2021-11-01,2021-11-15,Shannon,DNK,939,USD,mTon,,284.3595601701845
2295,Shannon-HRK,2021-11-01,2021-11-01,Shannon,HRK,1014,USD,mTon,,307.0719851039053
2296,Shannon-ROV,2021-11-01,2021-11-01,Shannon,ROV,856,EUR,mTon,,238.06086562298356
2297,Shannon-VOG,2021-11-01,2021-11-01,Shannon,VOG,820,EUR,mTon,,228.04896005940012
2298,Shannon-KZN,2021-11-01,2021-11-01,Shannon,KZN,733,EUR,mTon,,203.85352161407351
2299,Shannon-KUF,2021-11-01,2021-11-15,Shannon,KUF,705,EUR,mTon,,196.06648395350865
2300,Total-ASW,2021-11-03,2021-12-13,Total,ASW,274.65,USDC,gallion.USG.UGL,,252.2270180916521
2301,Royal Petrol-HRG,2021-11-03,2021-11-14,Royal Petrol,HRG,2.7565,USD,gallion.USG.UGL,,275.65
2302,WF-LXR,2021-11-03,2021-11-14,WF,LXR,277.65,USDC,gallion.USG.UGL,,254.98209201946918
2303,AEG-BIQ,2021-11-01,2021-11-30,AEG,BIQ,4.564415,USD,gallion.USG.UGL,,456.4415
2304,AEG-PED,2021-11-09,2021-11-15,AEG,PED,3.38303,USD,gallion.USG.UGL,,338.303
2305,AEG-KRK,2021-11-09,2021-11-09,AEG,KRK,2.678612,USD,gallion.USG.UGL,,267.8612
2306,AEG-RZE,2021-11-09,2021-11-15,AEG,RZE,3.320126,USD,gallion.USG.UGL,,332.0126
2307,AEG-WRO,2021-11-09,2021-11-15,AEG,WRO,3.310026,USD,gallion.USG.UGL,,331.00260000000003
2308,AEG-ASB,2021-11-01,2021-11-15,AEG,ASB,866.149877,USD,mTon,,262.29818750285347
2309,Total-CAI,2021-11-15,2021-11-15,Total,CAI,243,USDC,gallion.USG.UGL,,223.1609881531821
2310,Total-RMF,2021-11-15,2021-11-15,Total,RMF,372,USDC,gallion.USG.UGL,,341.6291670493158
2311,Total-SSH,2021-11-15,2021-11-15,Total,SSH,274,USDC,gallion.USG.UGL,,251.63008540729177
2312,WF-LXR,2021-11-15,2021-11-15,WF,LXR,274.65,USDC,gallion.USG.UGL,,252.2270180916521
2313,AEG-PED,2021-11-16,2021-11-22,AEG,PED,3.30917,USD,gallion.USG.UGL,,330.917
2314,AEG-KRK,2021-11-16,2021-11-22,AEG,KRK,2.671798,USD,gallion.USG.UGL,,267.1798
2315,AEG-RZE,2021-11-16,2021-11-22,AEG,RZE,3.226287,USD,gallion.USG.UGL,,322.62870000000004
2316,AEG-WRO,2021-11-16,2021-11-22,AEG,WRO,3.216491,USD,gallion.USG.UGL,,321.6491
2317,Royal Petrol-HRG,2021-11-15,2021-11-23,Royal Petrol,HRG,2.7265,USD,gallion.USG.UGL,,272.65000000000003
2318,Shannon-GYD,2021-11-16,2021-11-30,Shannon,GYD,985,USD,mTon,,298.2898474628666
2319,Shannon-EVN,2021-11-16,2021-11-30,Shannon,EVN,1089,USD,mTon,,329.7844100376261
2320,Shannon--KBP,2021-11-16,2021-11-30,Shannon ,KBP,885,USD,mTon,,268.0066142179055
2321,Shannon-DNK,2021-11-16,2021-11-30,Shannon,DNK,920,USD,mTon,,278.6057458536419
2322,Shannon-HRK,2021-11-16,2021-11-30,Shannon,HRK,995,USD,mTon,,301.3181707873627
2323,Shannon-LWO,2020-11-16,2020-11-30,Shannon,LWO,885,USD,mTon,,268.0066142179055
2324,Shannon-ROV,2021-11-16,2021-11-30,Shannon,ROV,860,EUR,mTon,,239.17329957449286
2325,Shannon-VOG,2021-11-16,2021-11-30,Shannon,VOG,877,EUR,mTon,,243.90114386840722
2326,Shannon-KZN,2021-11-16,2021-11-30,Shannon,KZN,773,EUR,mTon,,214.97786112916623
2327,Shannon-KUF,2021-11-16,2021-11-30,Shannon,KUF,745,EUR,mTon,,207.19082346860134
2328,AEG-PED,2021-11-23,2021-11-29,AEG,PED,3.38303,USD,gallion.USG.UGL,,338.303
2329,AEG-KRK,2021-11-23,2021-11-29,AEG,KRK,2.572164,USD,gallion.USG.UGL,,257.21639999999996
2330,AEG-RZE,2021-11-23,2021-11-23,AEG,RZE,3.143331,USD,gallion.USG.UGL,,314.3331
2331,AEG-WRO,2021-11-23,2021-11-23,AEG,WRO,3.114561,USD,gallion.USG.UGL,,311.4561
2332,AEG-ASB,2021-11-16,2021-11-16,AEG,ASB,882.15,USD,mTon,,267.14354207042413
2333,Royal Petrol-HRG,2021-11-24,2021-02-12,Royal Petrol,HRG,2.6365,USD,gallion.USG.UGL,,263.65
2334,WF-LXR,2021-11-24,2021-02-12,WF,LXR,265.65,USDC,gallion.USG.UGL,,243.96179630820092
2335,AEG-PED,2021-11-30,2021-06-12,AEG,PED,3.259929,USD,gallion.USG.UGL,,325.9929
2336,AEG-KRK,2021-11-30,2021-06-12,AEG,KRK,2.537338,USD,gallion.USG.UGL,,253.7338
2337,AEG-RZE,2021-11-30,2021-06-12,AEG,RZE,3.196932,USD,gallion.USG.UGL,,319.6932
2338,AEG-WRO,2021-11-30,2021-06-12,AEG,WRO,3.167638,USD,gallion.USG.UGL,,316.7638
2339,AEG-MLE,2021-12-01,2021-12-22,AEG,MLE,4.103652,USD,gallion.USG.UGL,,410.3652
2340,AEG-AQJ,2021-12-01,2021-12-31,AEG,AQJ,2.842392,USD,gallion.USG.UGL,,284.2392
2341,AEG-MIR,2021-12-01,2021-12-31,AEG,MIR,2.883432,USD,gallion.USG.UGL,,288.3432
2342,Total-CAI,2021-11-24,2021-12-13,Total,CAI,233,USDC,gallion.USG.UGL,,213.9774083937919
2343,Total-RMF,2021-11-24,2021-12-14,Total,RMF,363,USDC,gallion.USG.UGL,,333.36394526586463
2344,Total-SSH,2021-11-24,2021-12-13,Total,SSH,265,USDC,gallion.USG.UGL,,243.36486362384056
2345,WF-MBX,2021-12-03,2021-12-31,WF,MBX,3.13014,USD,gallion.USG.UGL,,313.014
2346,WF-SEZ,2021-12-03,2021-12-31,WF,SEZ,2.63929,USD,gallion.USG.UGL,,263.929
2347,WF-ZNZ,2021-12-03,2021-12-16,WF,ZNZ,4.00081,USD,gallion.USG.UGL,,400.081
2348,WF-JIB,2021-12-03,2021-03-12,WF,JIB,3.16848,USD,gallion.USG.UGL,,316.848
2349,Royal Petrol-AUH,2021-12-01,2021-12-15,Royal Petrol,AUH,229.95,USDC,gallion.USG.UGL,,211.17641656717788
2350,WF-LXR,2021-12-03,2021-12-13,WF,LXR,254.65,USDC,gallion.USG.UGL,,233.8598585728717
2351,Royal Petrol-NHD,2021-12-01,2021-12-31,Royal Petrol,NHD,4.8726,USD,gallion.USG.UGL,,487.26000000000005
2352,Royal Petrol-HRG,2021-12-03,2021-12-13,Royal Petrol,HRG,2.5265,USD,gallion.USG.UGL,,252.65
2353,AEG-BRS,2021-12-06,2021-12-12,AEG,BRS,2.235464,USD,gallion.USG.UGL,,223.54639999999998
2354,AEG-PED,2021-12-07,2021-12-13,AEG,PED,3.157317,USD,gallion.USG.UGL,,315.7317
2355,AEG-ASM,2021-11-01,2021-11-30,AEG,ASM,3.00351,USD,gallion.USG.UGL,,300.351
2356,AEG-KRK,2021-12-07,2021-12-13,AEG,KRK,2.366235,USD,gallion.USG.UGL,,236.6235
2357,AEG-RZE,2021-12-07,2021-12-13,AEG,RZE,3.224099,USD,gallion.USG.UGL,,322.4099
2358,AEG-WRO,2021-12-07,2021-12-13,AEG,WRO,2.975306,USD,gallion.USG.UGL,,297.5306
2359,AEG-ASB,2021-12-01,2021-12-15,AEG,ASB,915.15,USD,mTon,,277.1370090412613
2360,WF-LXR,2021-12-14,2021-12-23,WF,LXR,247.65,USDC,gallion.USG.UGL,,227.43135274129855
2361,Total-CAI,2021-12-14,2021-12-14,Total,CAI,215,USDC,gallion.USG.UGL,,197.4469648268895
2362,Total-SSH,2021-12-14,2021-12-14,Total,SSH,247,USDC,gallion.USG.UGL,,226.8344200569382
2363,Total-RMF,2021-12-15,2021-12-15,Total,RMF,345,USDC,gallion.USG.UGL,,316.83350169896227
2364,AEG-BRS,2021-12-13,2021-12-13,AEG,BRS,2.342213,USD,gallion.USG.UGL,,234.2213
2365,AEG-BIQ,2021-12-01,2021-12-31,AEG,BIQ,4.38177,USD,gallion.USG.UGL,,438.177
2366,AEG-PED,2021-12-14,2021-12-20,AEG,PED,3.200242,USD,gallion.USG.UGL,,320.0242
2367,AEG-KRK,2021-12-14,2021-12-20,AEG,KRK,2.472985,USD,gallion.USG.UGL,,247.2985
2368,AEG-RZE,2021-12-14,2021-12-20,AEG,RZE,3.160042,USD,gallion.USG.UGL,,316.00419999999997
2369,AEG-WRO,2021-12-14,2021-12-20,AEG,WRO,3.050108,USD,gallion.USG.UGL,,305.01079999999996
2370,WF-ZNZ,2021-12-17,2022-04-01,WF,ZNZ,4.04624,USD,gallion.USG.UGL,,404.624
2371,Royal Petrol-HRG,2021-12-14,2022-03-01,Royal Petrol,HRG,2.4565,USD,gallion.USG.UGL,,245.65
2372,Total-ASW,2021-12-14,2021-12-23,Total,ASW,244.65,USDC,gallion.USG.UGL,,224.6762788134815
2373,AEG-BRS,2021-12-20,2021-12-20,AEG,BRS,2.35584,USD,gallion.USG.UGL,,235.584
2374,AEG-PED,2021-12-21,2021-12-21,AEG,PED,3.115008,USD,gallion.USG.UGL,,311.5008
2375,AEG-KRK,2021-12-21,2021-12-27,AEG,KRK,2.486613,USD,gallion.USG.UGL,,248.6613
2376,AEG-RZE,2021-12-21,2021-12-27,AEG,RZE,3.160982,USD,gallion.USG.UGL,,316.0982
2377,AEG-WRO,2021-12-21,2021-12-27,AEG,WRO,3.082782,USD,gallion.USG.UGL,,308.27819999999997
2378,AEG-ASB,2021-12-16,2021-12-31,AEG,ASB,935.150137,USD,mTon,,283.19369717828306
2379,WF-MCT,2021-12-22,2022-01-01,WF,MCT,2.22482,USD,gallion.USG.UGL,,222.48199999999997
2380,Shannon-EVN,2021-12-16,2021-12-31,Shannon,EVN,1118,USD,mTon,,338.56654767866485
2381,Royal Petrol-MCT,2021-12-16,2021-12-31,Royal Petrol,MCT,216.9,USDC,gallion.USG.UGL,,199.19184498117366
2382,Jetex-AER,2021-12-11,2021-11-12,Jetex,AER,760.69241,EUR,mTon,,211.55501588485225
2383,Jetex-KRR,2021-12-11,2021-11-12,Jetex,KRR,749.69241,EUR,mTon,,208.49582251820175
2384,Jetex-MSQ,2021-12-15,2021-12-15,Jetex,MSQ,1086.55629,USD,mTon,,329.0443756384957
2385,Royal Petrol-MLE,2021-12-01,2021-12-31,Royal Petrol,MLE,3.614,USD,gallion.USG.UGL,,361.4
2386,WF-MLE,2021-12-22,2021-12-31,WF,MLE,3.66429,USD,gallion.USG.UGL,,366.429
2387,AEG-MLE,2021-12-23,2021-12-31,AEG,MLE,3.7137,USD,gallion.USG.UGL,,371.37
2388,Total-CAI,2021-12-24,2022-03-01,Total,CAI,218,USDC,gallion.USG.UGL,,200.2020387547066
2389,Total-RMF,2021-12-24,2022-03-01,Total,RMF,347,USDC,gallion.USG.UGL,,318.6702176508403
2390,Total-SSH,2021-12-24,2022-03-01,Total,SSH,250,USDC,gallion.USG.UGL,,229.58949398475525
2391,WF-LXR,2021-12-24,2022-03-01,WF,LXR,250.65,USDC,gallion.USG.UGL,,230.18642666911563
2392,AEG-BRS,2021-12-27,2022-02-01,AEG,BRS,2.346906,USD,gallion.USG.UGL,,234.69060000000002
2393,AEG-ASM,2021-12-01,2021-12-31,AEG,ASM,3.00351,USD,gallion.USG.UGL,,300.351
2394,AEG-KRK,2021-12-28,2022-03-01,AEG,KRK,2.477679,USD,gallion.USG.UGL,,247.76790000000003
2395,AEG-RZE,2021-12-28,2022-03-01,AEG,RZE,3.127659,USD,gallion.USG.UGL,,312.7659
2396,AEG-WRO,2021-12-28,2022-03-01,AEG,WRO,3.085753,USD,gallion.USG.UGL,,308.57529999999997
2397,Total-ASW,2021-12-24,2022-12-01,Total,ASW,247.65,USDC,gallion.USG.UGL,,227.43135274129855
2398,AEG-BRS,2022-01-03,2022-09-01,AEG,BRS,2.439018,USD,gallion.USG.UGL,,243.90179999999998
2399,AEG-AQJ,2022-01-01,2022-01-31,AEG,AQJ,2.692898,USD,gallion.USG.UGL,,269.2898
2400,AEG-GAN,2021-10-27,2021-10-27,AEG,GAN,3.831465,USD,gallion.USG.UGL,,383.1465
2401,AEG-ASM,2022-01-01,2022-01-01,AEG,ASM,2.90351,USD,gallion.USG.UGL,,290.351
2402,AEG-KRK,2022-01-04,2022-10-01,AEG,KRK,2.569792,USD,gallion.USG.UGL,,256.9792
2403,AEG-RZE,2022-01-04,2022-10-01,AEG,RZE,3.240158,USD,gallion.USG.UGL,,324.0158
2404,AEG-WRO,2022-01-04,2022-10-01,AEG,WRO,3.190468,USD,gallion.USG.UGL,,319.0468
2405,Shannon-AER,2022-01-11,2022-11-01,Shannon,AER,769.61485,EUR,mTon,,214.03642218142835
2406,Shannon-KRR,2022-01-11,2022-11-01,Shannon,KRR,758.61485,EUR,mTon,,210.97722881477785
2407,Shannon-MSQ,2022-01-15,2022-01-15,Shannon,MSQ,1086.55629,USD,mTon,,329.0443756384957
2408,WF-ZNZ,2022-01-05,2022-01-18,WF,ZNZ,4.04624,USD,gallion.USG.UGL,,404.624
2409,WF-MBX,2022-01-05,2022-05-01,WF,MBX,2.98518,USD,gallion.USG.UGL,,298.51800000000003
2410,WF-SEZ,2022-01-01,2022-01-23,WF,SEZ,2.72929,USD,gallion.USG.UGL,,272.92900000000003
2411,WF-JIB,2022-01-05,2022-05-01,WF,JIB,3.07348,USD,gallion.USG.UGL,,307.348
2412,Total-CAI,2022-01-04,2022-01-24,Total,CAI,224,USDC,gallion.USG.UGL,,205.71218661034072
2413,Total-RMF,2022-01-04,2022-04-01,Total,RMF,353,USDC,gallion.USG.UGL,,324.1803655064744
2414,Total-SSH,2022-01-04,2022-04-01,Total,SSH,255,USDC,gallion.USG.UGL,,234.18128386445036
2415,Royal Petrol-HRG,2022-01-04,2022-01-24,Royal Petrol,HRG,2.5115,USD,gallion.USG.UGL,,251.14999999999998
2416,AEG-DMM,2022-01-01,2022-01-31,AEG,DMM,2.2953,USD,gallion.USG.UGL,,229.53
2417,Royal Petrol-DMM,2022-01-01,2022-01-31,Royal Petrol,DMM,2.407,USD,gallion.USG.UGL,,240.7
2418,WF-DMM,2022-03-09,2022-03-31,WF,DMM,2.99538,USD,gallion.USG.UGL,,299.538
2419,WF-DMM,2022-01-01,2022-01-31,WF,DMM,2.34488,USD,gallion.USG.UGL,,234.488
2420,Royal Petrol-NHD,2022-01-01,2022-01-31,Royal Petrol,NHD,4.7647,USD,gallion.USG.UGL,,476.47
2421,AEG-DSA,2022-01-11,2022-01-18,AEG,DSA,2.6635,USD,gallion.USG.UGL,,266.35
2422,WF-LXR,2022-01-04,2022-04-01,WF,LXR,255.65,USDC,gallion.USG.UGL,,234.77821654881072
2423,Royal Petrol-JIB,2022-01-11,2022-01-31,Royal Petrol,JIB,302.35,USDC,gallion.USG.UGL,,277.665534025163
2424,AEG-BRS,2022-01-10,2022-01-16,AEG,BRS,2.562486,USD,gallion.USG.UGL,,256.2486
2425,AEG-PED,2022-01-11,2022-01-17,AEG,PED,3.241919,USD,gallion.USG.UGL,,324.19190000000003
2426,AEG-KRK,2022-01-11,2022-01-17,AEG,KRK,2.693261,USD,gallion.USG.UGL,,269.3261
2427,AEG-RZE,2022-01-11,2022-01-11,AEG,RZE,3.372966,USD,gallion.USG.UGL,,337.2966
2428,AEG-WRO,2022-01-11,2022-01-11,AEG,WRO,3.332918,USD,gallion.USG.UGL,,333.29179999999997
2429,AEG-ASB,2022-01-01,2022-01-16,AEG,ASB,849,USD,mTon,,257.10465024971955
2430,WF-LXR,2022-01-13,2022-01-24,WF,LXR,270.65,USDC,gallion.USG.UGL,,248.55358618789603
