id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
2196,HNWE  USDC.UGLPW,2023-03-07,2023-03-13,HNWE  USDC.UGL,269.9,PW,,
2197,HROTT  USDC.UGLPW,2023-03-07,2023-03-13,HROTT  USDC.UGL,267.95,PW,,
2198,HNWE  USDC.UGL1/2M,2023-03-01,2023-03-15,HNWE  USDC.UGL,263.03,1/2M,,
2199,ARAB GULF FOB HIGH PRIORPM,2023-03-01,2023-03-31,ARAB GULF FOB HIGH PRIOR,244.73,PM,,
2200,ARAB GULF FOB HIGH PRIORPW,2023-03-07,2023-03-13,ARAB GULF FOB HIGH PRIOR,240.28,PW,,
2201,MOPAGPM,2023-03-01,2023-03-31,MOPAG,244.73,PM,,
2202,MOPAGPW,2023-03-07,2023-03-13,MOPAG,240.28,PW,,
2203,MOPAG1/2M,2023-03-01,2023-03-15,MOPAG,234.07,1/2M,,
2204,ARAB GULF FOB HIGH PRIORPW,2023-03-14,2023-03-20,ARAB GULF FOB HIGH PRIOR,236.43,PW,,
2205,FOB MED  USDC.UGLPW,2023-03-14,2023-03-20,FOB MED  USDC.UGL,250.5,PW,,
2206,HNWE  USDC.UGLPW,2023-03-14,2023-03-20,HNWE  USDC.UGL,259.91,PW,,
2207,HROTT  USDC.UGLPW,2023-03-14,2023-03-20,HROTT  USDC.UGL,259.29,PW,,
2208,MOPAGPW,2023-03-14,2023-03-20,MOPAG,236.43,PW,,
2209,LukOIL FOB MED1/2M,2023-03-16,2023-03-31,LukOIL FOB MED,825.35,1/2M,,
2210,FOB MED  USDC.UGL1/2M,2023-03-16,2023-03-31,FOB MED  USDC.UGL,249.94,1/2M,,
2211,CIF MED USDC.UGL1/2M,2023-03-16,2023-03-31,CIF MED USDC.UGL,258.4,1/2M,,
2212,MOPAG1/2M,2023-03-16,2023-03-31,MOPAG,236.07,1/2M,,
2213,ARAB GULF FOB HIGH PRIOR1/2M,2023-03-16,2023-03-31,ARAB GULF FOB HIGH PRIOR,236.07,1/2M,,
2214,FOB MED  USDC.UGLPW,2023-03-21,2023-03-27,FOB MED  USDC.UGL,225.73,PW,,
2215,HNWE  USDC.UGLPW,2023-03-21,2023-03-27,HNWE  USDC.UGL,240.54,PW,,
2216,HROTT  USDC.UGLPW,2023-03-21,2023-03-27,HROTT  USDC.UGL,240.24,PW,,
2217,ARAB GULF FOB HIGH PRIORPW,2023-03-21,2023-03-27,ARAB GULF FOB HIGH PRIOR,223.71,PW,,
2218,HNWE  USDC.UGL1/2M,2023-03-16,2023-03-31,HNWE  USDC.UGL,259.02,1/2M,,
2219,HNWE  USDC.UGLPW,2023-03-28,2023-03-31,HNWE  USDC.UGL,240.16,PW,,
2220,HROTT  USDC.UGLPW,2023-03-28,2023-03-31,HROTT  USDC.UGL,239.86,PW,,
2221,FOB MED  USDC.UGLPW,2023-03-28,2023-03-31,FOB MED  USDC.UGL,222.4,PW,,
2222,HNWE  USDC.UGLPW,2023-04-01,2023-03-04,HNWE  USDC.UGL,240.16,PW,,
2223,HROTT  USDC.UGLPW,2023-04-01,2023-03-04,HROTT  USDC.UGL,239.86,PW,,
2224,FOB MED  USDC.UGLPW,2023-04-01,2023-03-04,FOB MED  USDC.UGL,222.4,PW,,
2225,ARAB GULF FOB HIGH PRIORPW,2023-03-28,2023-03-31,ARAB GULF FOB HIGH PRIOR,214.31,PW,,
2226,ARAB GULF FOB HIGH PRIORPW,2023-04-01,2023-03-04,ARAB GULF FOB HIGH PRIOR,214.31,PW,,
2227,ARAB GULF FOB HIGH PRIORPM,2023-04-01,2023-04-30,ARAB GULF FOB HIGH PRIOR,225.01,PM,,
2228,FOB MED  USDC.UGLPM,2023-04-01,2023-04-30,FOB MED  USDC.UGL,234.38,PM,,
2229,HNWE  USDC.UGLPM,2023-04-01,2023-04-30,HNWE  USDC.UGL,249.03,PM,,
2230,HNWE  USDC.UGL1/2M,2023-04-02,2023-04-15,HNWE  USDC.UGL,240.18,1/2M,,
2231,CIF MED USDC.UGL1/2M,2023-04-01,2023-04-15,CIF MED USDC.UGL,239.81,1/2M,,
2232,LukOIL FOB MED1/2M,2023-04-01,2023-04-15,LukOIL FOB MED,732.77,1/2M,,
2233,FOB MED  USDC.UGL1/2M,2023-04-01,2023-04-15,FOB MED  USDC.UGL,221.91,1/2M,,
2234,ARAB GULF FOB HIGH PRIOR1/2M,2023-04-01,2023-04-15,ARAB GULF FOB HIGH PRIOR,217.94,1/2M,,
2235,HNWE  USDC.UGLPW,2023-04-04,2023-10-04,HNWE  USDC.UGL,242.31,PW,,
2236,HROTT  USDC.UGLPW,2023-04-04,2023-10-04,HROTT  USDC.UGL,241.42,PW,,
2237,HROTT  USDC.UGLPM,2023-04-01,2023-04-30,HROTT  USDC.UGL,248.34,PM,,
2238,FOB MED  USDC.UGLPW,2023-04-04,2023-10-04,FOB MED  USDC.UGL,222.14,PW,,
2239,HNWE  USDC.UGLPW,2023-04-11,2023-04-17,HNWE  USDC.UGL,252.07,PW,,
2240,HROTT  USDC.UGLPW,2023-04-11,2023-04-17,HROTT  USDC.UGL,252,PW,,
2241,FOB MED  USDC.UGLPW,2023-04-11,2023-04-17,FOB MED  USDC.UGL,235.89,PW,,
2242,MOPAGPM,2023-04-01,2023-04-30,MOPAG,213.62,PM,,
2243,LukOIL FOB MED1/2M,2023-04-16,2023-04-30,LukOIL FOB MED,782.37,1/2M,,
2244,FOB MED  USDC.UGL1/2M,2023-04-16,2023-04-30,FOB MED  USDC.UGL,236.93,1/2M,,
2245,HNWE  USDC.UGLPW,2023-04-18,2023-04-24,HNWE  USDC.UGL,249.04,PW,,
2246,HROTT  USDC.UGLPW,2023-04-18,2023-04-24,HROTT  USDC.UGL,248.91,PW,,
2247,FOB MED  USDC.UGLPW,2023-04-18,2023-04-24,FOB MED  USDC.UGL,238.58,PW,,
2248,CIF MED USDC.UGL1/2M,2023-04-16,2023-04-30,CIF MED USDC.UGL,250.27,1/2M,,
2249,ARAB GULF FOB HIGH PRIOR1/2M,2023-04-16,2023-04-30,ARAB GULF FOB HIGH PRIOR,225,1/2M,,
2250,HNWE  USDC.UGL1/2M,2023-04-16,2023-04-30,HNWE  USDC.UGL,259.61,1/2M,,
2251,HNWE  USDC.UGLPW,2023-04-25,2023-01-05,HNWE  USDC.UGL,238,PW,,
2252,HROTT  USDC.UGLPW,2023-04-25,2023-01-05,HROTT  USDC.UGL,236.71,PW,,
2253,FOB MED  USDC.UGLPW,2023-04-25,2023-01-05,FOB MED  USDC.UGL,224.73,PW,,
2254,HNWE  USDC.UGLPM,2023-05-01,2023-05-31,HNWE  USDC.UGL,241.23,PM,,
2255,FOB MED  USDC.UGLPM,2023-05-01,2023-05-31,FOB MED  USDC.UGL,229.28,PM,,
2256,ARAB GULF FOB HIGH PRIORPM,2023-05-01,2023-05-31,ARAB GULF FOB HIGH PRIOR,219.73,PM,,
2257,LukOIL FOB MED1/2M,2023-05-01,2023-05-15,LukOIL FOB MED,737.28,1/2M,,
2258,FOB MED  USDC.UGL1/2M,2023-05-01,2023-05-15,FOB MED  USDC.UGL,223.27,1/2M,,
2259,HNWE  USDC.UGL1/2M,2023-05-01,2023-05-15,HNWE  USDC.UGL,249.47,1/2M,,
2260,ARAB GULF FOB HIGH PRIOR1/2M,2023-05-01,2023-05-15,ARAB GULF FOB HIGH PRIOR,220.66,1/2M,,
2261,CIF MED USDC.UGL1/2M,2023-05-01,2023-05-15,CIF MED USDC.UGL,233.38,1/2M,,
2262,HROTT  USDC.UGLPM,2023-05-01,2023-05-31,HROTT  USDC.UGL,240.34,PM,,
2263,HNWE  USDC.UGLPW,2023-05-02,2023-08-05,HNWE  USDC.UGL,229.52,PW,,
2264,HROTT  USDC.UGLPW,2023-05-02,2023-08-05,HROTT  USDC.UGL,227.81,PW,,
2265,FOB MED  USDC.UGLPW,2023-05-02,2023-08-05,FOB MED  USDC.UGL,221.19,PW,,
2266,HNWE  USDC.UGLPW,2023-05-09,2023-05-15,HNWE  USDC.UGL,213.93,PW,,
2267,HROTT  USDC.UGLPW,2023-05-09,2023-05-15,HROTT  USDC.UGL,212.33,PW,,
2268,FOB MED  USDC.UGLPW,2023-05-09,2023-05-15,FOB MED  USDC.UGL,206.82,PW,,
2269,HNWE  USDC.UGLPW,2023-05-16,2023-05-22,HNWE  USDC.UGL,221.01,PW,,
2270,HROTT  USDC.UGLPW,2023-05-16,2023-05-22,HROTT  USDC.UGL,219.19,PW,,
2271,FOB MED  USDC.UGLPW,2023-05-16,2023-05-22,FOB MED  USDC.UGL,213.89,PW,,
2272,LukOIL FOB MED1/2M,2023-05-16,2023-05-31,LukOIL FOB MED,698.47,1/2M,,
2273,FOB MED  USDC.UGL1/2M,2023-05-16,2023-05-31,FOB MED  USDC.UGL,211.52,1/2M,,
2274,CIF MED USDC.UGL1/2M,2023-05-16,2023-05-31,CIF MED USDC.UGL,217.5,1/2M,,
2275,ARAB GULF FOB HIGH PRIOR1/2M,2023-05-16,2023-05-31,ARAB GULF FOB HIGH PRIOR,206.66,1/2M,,
2276,HNWE  USDC.UGL1/2M,2023-05-16,2023-05-31,HNWE  USDC.UGL,223.57,1/2M,,
2277,HROTT  USDC.UGLPW,2023-05-23,2023-05-29,HROTT  USDC.UGL,219.84,PW,,
2278,FOB MED  USDC.UGLPW,2023-05-23,2023-05-29,FOB MED  USDC.UGL,214.75,PW,,
2279,HNWE  USDC.UGLPW,2023-05-23,2023-05-29,HNWE  USDC.UGL,221.66,PW,,
