id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
2292,CIF MED USDC.UGL1/2M,2023-06-01,2023-06-15,CIF MED USDC.UGL,219.47,1/2M,,
2293,HNWE  USDC.UGL1/2M,2023-06-01,2023-06-15,HNWE  USDC.UGL,232.57,1/2M,,
2294,ARAB GULF FOB HIGH PRIORPW,2023-06-01,2023-06-16,ARAB GULF FOB HIGH PRIOR,201.87,PW,,
2295,ARAB GULF FOB HIGH PRIORPM,2023-06-01,2023-06-30,ARAB GULF FOB HIGH PRIOR,221.2,PM,,
2296,MOPAGPM,2023-06-01,2023-06-30,MOPAG,221.2,PM,,
2297,HNWE  USDC.UGLPW,2023-06-06,2023-12-06,HNWE  USDC.UGL,216.3,PW,,
2298,HROTT  USDC.UGLPW,2023-06-06,2023-12-06,HROTT  USDC.UGL,214.91,PW,,
2299,FOB MED  USDC.UGLPW,2023-06-06,2023-12-06,FOB MED  USDC.UGL,209.79,PW,,
2300,HNWE  USDC.UGLPW,2023-06-13,2023-06-19,HNWE  USDC.UGL,224.14,PW,,
2301,HROTT  USDC.UGLPW,2023-06-13,2023-06-19,HROTT  USDC.UGL,222.72,PW,,
2302,FOB MED  USDC.UGLPW,2023-06-13,2023-06-19,FOB MED  USDC.UGL,217.63,PW,,
2303,LukOIL FOB MED1/2M,2023-06-16,2023-06-30,LukOIL FOB MED,713.38,1/2M,,
2304,FOB MED  USDC.UGL1/2M,2023-06-16,2023-06-30,FOB MED  USDC.UGL,216.04,1/2M,,
2305,CIF MED USDC.UGL1/2M,2023-06-16,2023-06-30,CIF MED USDC.UGL,222.2,1/2M,,
2306,HNWE  USDC.UGLPW,2023-06-20,2023-06-26,HNWE  USDC.UGL,224.6,PW,,
2307,FOB MED  USDC.UGLPW,2023-06-20,2023-06-26,FOB MED  USDC.UGL,218.06,PW,,
2308,HROTT  USDC.UGLPW,2023-06-20,2023-06-26,HROTT  USDC.UGL,223.75,PW,,
2309,HNWE  USDC.UGLPW,2023-06-27,2023-03-07,HNWE  USDC.UGL,230.5,PW,,
2310,FOB MED  USDC.UGLPW,2023-06-27,2023-03-07,FOB MED  USDC.UGL,223.61,PW,,
2311,HROTT  USDC.UGLPW,2023-06-27,2023-03-07,HROTT  USDC.UGL,230.68,PW,,
2312,ARAB GULF FOB HIGH PRIOR1/2M,2023-06-16,2023-06-30,ARAB GULF FOB HIGH PRIOR,203.47,1/2M,,
2313,ARAB GULF FOB HIGH PRIOR1/2M,2023-07-01,2023-07-15,ARAB GULF FOB HIGH PRIOR,209.59,1/2M,,
2314,CIF MED USDC.UGL1/2M,2023-07-01,2023-07-15,CIF MED USDC.UGL,230.21,1/2M,,
2315,LukOIL FOB MED1/2M,2023-07-01,2023-07-15,LukOIL FOB MED,738.1,1/2M,,
2316,FOB MED  USDC.UGL1/2M,2023-07-01,2023-07-15,FOB MED  USDC.UGL,223.52,1/2M,,
2317,HNWE  USDC.UGLPW,2023-07-04,2023-10-07,HNWE  USDC.UGL,229.71,PW,,
2318,FOB MED  USDC.UGLPW,2023-07-04,2023-10-07,FOB MED  USDC.UGL,222.63,PW,,
2319,HROTT  USDC.UGLPW,2023-07-04,2023-10-07,HROTT  USDC.UGL,230.12,PW,,
2320,HNWE  USDC.UGLPM,2023-07-01,2023-07-31,HNWE  USDC.UGL,226.55,PM,,
2321,HROTT  USDC.UGLPM,2023-07-01,2023-07-31,HROTT  USDC.UGL,226.07,PM,,
2322,FOB MED  USDC.UGLPM,2023-07-01,2023-07-31,FOB MED  USDC.UGL,219.81,PM,,
2323,HNWE  USDC.UGL1/2M,2023-07-01,2023-07-15,HNWE  USDC.UGL,235.16,1/2M,,
2324,ARAB GULF FOB HIGH PRIORPM,2023-07-01,2023-07-31,ARAB GULF FOB HIGH PRIOR,225.1,PM,,
2325,MOPAGPM,2023-07-01,2023-07-31,MOPAG,225.1,PM,,
2326,MOPAG1/2M,2023-07-01,2023-07-15,MOPAG,209.59,1/2M,,
2327,HNWE  USDC.UGLPW,2023-07-11,2023-07-17,HNWE  USDC.UGL,236.66,PW,,
2328,FOB MED  USDC.UGLPW,2023-07-11,2023-07-17,FOB MED  USDC.UGL,228.12,PW,,
2329,HROTT  USDC.UGLPW,2023-07-11,2023-07-17,HROTT  USDC.UGL,236.77,PW,,
2330,ARAB GULF FOB HIGH PRIORPW,2023-07-11,2023-07-17,ARAB GULF FOB HIGH PRIOR,225.1,PW,,
2331,LukOIL FOB MED1/2M,2023-07-16,2023-07-31,LukOIL FOB MED,767.75,1/2M,,
2332,FOB MED  USDC.UGL1/2M,2023-07-16,2023-07-31,FOB MED  USDC.UGL,232.5,1/2M,,
2333,HNWE  USDC.UGLPW,2023-07-18,2023-07-24,HNWE  USDC.UGL,246.55,PW,,
2334,FOB MED  USDC.UGLPW,2023-07-18,2023-07-24,FOB MED  USDC.UGL,238.12,PW,,
2335,HROTT  USDC.UGLPW,2023-07-18,2023-07-24,HROTT  USDC.UGL,246.55,PW,,
2336,CIF MED USDC.UGL1/2M,2023-07-16,2023-07-31,CIF MED USDC.UGL,241.23,1/2M,,
2337,ARAB GULF FOB HIGH PRIOR1/2M,2023-07-16,2023-07-31,ARAB GULF FOB HIGH PRIOR,222.66,1/2M,,
2338,HNWE  USDC.UGLPW,2023-07-25,2023-07-31,HNWE  USDC.UGL,251.02,PW,,
2339,FOB MED  USDC.UGLPW,2023-07-25,2023-07-31,FOB MED  USDC.UGL,243.1,PW,,
2340,HROTT  USDC.UGLPW,2023-07-25,2023-07-31,HROTT  USDC.UGL,251.47,PW,,
2341,FOB MED  USDC.UGLPM,2023-08-01,2023-08-31,FOB MED  USDC.UGL,244.74,PM,,
2342,HNWE  USDC.UGLPM,2023-08-01,2023-08-31,HNWE  USDC.UGL,252.88,PM,,
2343,LukOIL FOB MED1/2M,2023-08-01,2023-08-15,LukOIL FOB MED,845.42,1/2M,,
2344,FOB MED  USDC.UGL1/2M,2023-08-01,2023-08-15,FOB MED  USDC.UGL,256.02,1/2M,,
2345,ARAB GULF FOB HIGH PRIOR1/2M,2023-08-01,2023-08-15,ARAB GULF FOB HIGH PRIOR,238.89,1/2M,,
2346,MOPAG1/2M,2023-08-01,2023-08-15,MOPAG,238.89,1/2M,,
2347,HROTT  USDC.UGLPM,2023-08-01,2023-08-31,HROTT  USDC.UGL,252.94,PM,,
2348,HNWE  USDC.UGLPW,2023-08-01,2023-07-08,HNWE  USDC.UGL,271.25,PW,,
2349,FOB MED  USDC.UGLPW,2023-08-01,2023-07-08,FOB MED  USDC.UGL,263.5,PW,,
2350,HROTT  USDC.UGLPW,2023-08-01,2023-07-08,HROTT  USDC.UGL,271.04,PW,,
2351,HNWE  USDC.UGL1/2M,2023-08-01,2023-08-15,HNWE  USDC.UGL,256.91,1/2M,,
2352,ARAB GULF FOB HIGH PRIORPM,2023-08-01,2023-08-31,ARAB GULF FOB HIGH PRIOR,228.63,PM,,
2353,MOPAGPM,2023-08-01,2023-08-31,MOPAG,228.63,PM,,
2354,CIF MED USDC.UGL1/2M,2023-08-01,2023-08-15,CIF MED USDC.UGL,262.76,1/2M,,
2355,ARAB GULF FOB HIGH PRIORPW,2023-08-01,2023-07-08,ARAB GULF FOB HIGH PRIOR,246,PW,,
2356,HNWE  USDC.UGLPW,2023-08-08,2023-08-14,HNWE  USDC.UGL,289.49,PW,,
2357,FOB MED  USDC.UGLPW,2023-08-08,2023-08-14,FOB MED  USDC.UGL,282.35,PW,,
2358,HROTT  USDC.UGLPW,2023-08-08,2023-08-14,HROTT  USDC.UGL,288.74,PW,,
2359,HNWE  USDC.UGLPW,2023-08-15,2023-08-21,HNWE  USDC.UGL,298.25,PW,,
2360,FOB MED  USDC.UGLPW,2023-08-15,2023-08-21,FOB MED  USDC.UGL,291.55,PW,,
2361,HROTT  USDC.UGLPW,2023-08-15,2023-08-21,HROTT  USDC.UGL,296.99,PW,,
2362,LukOIL FOB MED1/2M,2023-08-16,2023-08-31,LukOIL FOB MED,951.85,1/2M,,
2363,FOB MED  USDC.UGL1/2M,2023-08-16,2023-08-31,FOB MED  USDC.UGL,288.25,1/2M,,
2364,ARAB GULF FOB HIGH PRIOR1/2M,2023-08-16,2023-08-31,ARAB GULF FOB HIGH PRIOR,312.95,1/2M,,
2365,MOPAG1/2M,2023-08-16,2023-08-31,MOPAG,312.95,1/2M,,
2366,CIF MED USDC.UGL1/2M,2023-08-16,2023-08-31,CIF MED USDC.UGL,294.05,1/2M,,
2367,HNWE  USDC.UGLPW,2023-08-22,2023-08-28,HNWE  USDC.UGL,292.46,PW,,
2368,FOB MED  USDC.UGLPW,2023-08-22,2023-08-28,FOB MED  USDC.UGL,284.06,PW,,
2369,HROTT  USDC.UGLPW,2023-08-22,2023-08-28,HROTT  USDC.UGL,292.19,PW,,
2370,LukOIL FOB MED1/2M,2023-09-01,2023-09-15,LukOIL FOB MED,953.09,1/2M,,
2371,FOB MED  USDC.UGL1/2M,2023-09-01,2023-09-15,FOB MED  USDC.UGL,288.63,1/2M,,
2372,ARAB GULF FOB HIGH PRIORPW,2023-08-29,2023-04-09,ARAB GULF FOB HIGH PRIOR,272.76,PW,,
2373,HNWE  USDC.UGLPW,2023-08-29,2023-04-09,HNWE  USDC.UGL,301.67,PW,,
2374,FOB MED  USDC.UGLPW,2023-08-29,2023-04-09,FOB MED  USDC.UGL,290.46,PW,,
2375,HROTT  USDC.UGLPW,2023-08-29,2023-04-09,HROTT  USDC.UGL,301.14,PW,,
2376,HNWE  USDC.UGLPM,2023-09-01,2023-09-30,HNWE  USDC.UGL,296.07,PM,,
2377,HROTT  USDC.UGLPM,2023-09-01,2023-09-30,HROTT  USDC.UGL,295.38,PM,,
2378,FOB MED  USDC.UGLPM,2023-08-01,2023-08-31,FOB MED  USDC.UGL,287.11,PM,,
2379,ARAB GULF FOB HIGH PRIORPM,2023-09-01,2023-09-30,ARAB GULF FOB HIGH PRIOR,269.43,PM,,
2380,MOPAGPM,2023-09-01,2023-09-30,MOPAG,269.43,PM,,
2381,CIF MED USDC.UGL1/2M,2023-09-01,2023-09-15,CIF MED USDC.UGL,297.41,1/2M,,
2382,HNWE  USDC.UGLPW,2023-09-05,2023-11-09,HNWE  USDC.UGL,296.49,PW,,
2383,FOB MED  USDC.UGLPW,2023-09-05,2023-11-09,FOB MED  USDC.UGL,284.19,PW,,
2384,HROTT  USDC.UGLPW,2023-09-05,2023-11-09,HROTT  USDC.UGL,295.96,PW,,
2385,ARAB GULF FOB HIGH PRIOR1/2M,2023-09-01,2023-09-15,ARAB GULF FOB HIGH PRIOR,278.66,1/2M,,
2386,MOPAG1/2M,2023-09-01,2023-09-15,MOPAG,278.66,1/2M,,
2387,HNWE  USDC.UGL1/2M,2023-09-01,2023-09-15,HNWE  USDC.UGL,301.73,1/2M,,
2388,FOB MED  USDC.UGLPM,2023-09-01,2023-09-30,FOB MED  USDC.UGL,287.11,PM,,
2389,xxx,2025-02-16,2025-02-28,FOB MED  USDC.UGL,219.02,1/2M,,
2390,xxx,2025-02-16,2025-02-28,Argus SAF ,225.29,1/2M,,
2391,xxx,2025-01-16,2025-01-31,FOB MED  USDC.UGL,218.22,1/2M,,
2392,xxx,2025-01-16,2025-01-31,Argus SAF ,225.08,1/2M,,
2393,wfs,2025-03-01,2025-03-31,FOB MED  USDC.UGL,216.3,PM,,
2394,wfs,2025-03-01,2025-03-31,ARAB GULF FOB HIGH PRIOR,211.93,PM,,
2395,Total,2025-03-01,2025-03-31,HNWE  USDC.UGL,225.93,PM,,
2396,xxx,2025-01-01,2025-01-01,nqma SAF,0,PM,,
2397,xxx,2025-02-25,2025-03-03,HNWE  USDC.UGL,227.62,PW,,
2398,xxx,2025-02-25,2025-03-03,HROTT  USDC.UGL,227.62,PW,,
2399,wfs,2025-02-01,2025-02-28,ARAB GULF FOB HIGH PRIOR,215.45,PM,,
2400,wfs,2025-02-25,2025-03-03,FOB MED  USDC.UGL,217.43,PW,,
2401,nqma,2025-01-01,2025-01-01,Market price,0,MP,,
2402,UCIG,2025-03-11,2025-03-17,FOB MED  USDC.UGL,205.55,PW,,
2403,UCIG,2025-03-11,2025-03-17,ARAB GULF FOB HIGH PRIOR,196.48,PW,,
2404,UCIG,2025-03-01,2025-03-31,HNWE  USDC.UGL,225.39,PM,,
2405,UCIG,2025-03-01,2025-03-15,FOB MED  USDC.UGL,213.88,1/2M,,
2406,UCIG,2025-03-11,2025-03-17,HROTT  USDC.UGL,211.27,PW,,
2407,UCIG,2025-03-01,2025-03-31,HNWE  USDC.UGL,225.39,PM,,
2408,UCIG,2025-03-01,2025-03-15,HNWE  USDC.UGL,225.02,1/2M,,
2409,UCIG,2025-03-01,2025-03-31,HROTT  USDC.UGL,225.14,PM,,
2410,ucig,2025-03-11,2025-03-17,HNWE  USDC.UGL,213.38,PW,,
2411,UCIG,2025-03-01,2025-03-15,CIF MED USDC.UGL,222.9,1/2M,,
2412,UCIG,2025-03-01,2025-03-15,ARAB GULF FOB HIGH PRIOR,210,1/2M,,
2413,IJ,2025-03-01,2025-03-15,CIF MED USDC.UGL,222.81,1/2M,,
2414,IJ,2025-03-11,2025-03-17,ARAB GULF FOB HIGH PRIOR,196.43,PW,,
2415,IJ,2025-03-01,2025-03-31,JAFTO,224.28,PM,,
2416,IJ,2025-03-01,2025-03-31,CEYPETCO,235,PM,,
2417,IJ,2025-03-01,2025-03-31,Argus SAF ,758.7,PM,,
2418,IJ,2025-03-01,2025-03-31,Argus SAF ,761.55,PM,,
2419,IJ,2025-03-13,2025-03-31,Argus SAF ,927.3,PM,,
