id,valid_since,valid_until,confirmed,supplier,iata,period,diff_calc,value_fee_calc,value_fee_calc_1,value_fee_calc_2,value_fee_calc_3,value_fee_calc_4,value_fee_calc_5,value_fee_calc_6,SAF_diff_calc,total_fees_calc,diff_total,rank1,rank2,rank_final
3261,2025-03-13,2025-03-31,Tender,Air BP,AOI,PM,48.669083448989,6.952726217526001,1.8743854581447064,0.42786015914527525,0.0,0.0,0.0,0.0,13.059670652731016,9.254971834815983,61.728754101720014,1,1,1.1
3179,2025-03-13,2025-03-31,Tender,Jetex,AOI,PM,102.81969623957555,8.82939215933903,3.476363103499214,0.0,0.0,0.0,0.0,0.0,0.0,12.305755262838243,102.81969623957555,1,2,1.2
2336,2025-03-13,2025-03-31,Tender,UCIG,AQJ,MP,-3.673431903756084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.673431903756084,1,1,1.1
2961,2025-03-13,2025-03-31,Tender,Ist Jet,AQJ,MP,-2.2958949398475523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2958949398475523,1,2,1.2
2388,2025-03-07,2025-03-31,Tender,ASM,AQJ,MP,-3.214252915786574,1.102029571126825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102029571126825,-3.214252915786574,1,3,1.3
2889,2025-03-17,2025-03-31,Tender,Royal Petrol,AQJ,MP,-0.918357975939021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.918357975939021,1,4,1.4
2542,2025-03-14,2025-03-31,Tender,AEG,AQJ,MP,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,5,1.5
2466,2025-03-13,2025-03-31,Tender,CAC,AQJ,MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.6
3225,2025-03-13,2025-03-31,Tender,Jetex,AQJ,MP,2.755073927817063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.755073927817063,1,7,1.7
2731,2025-03-16,2025-03-31,Tender,WF,AQJ,MP,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,8,1.8
3262,2025-03-13,2025-03-31,Tender,Air BP,ARN,PM,34.897603085682796,0.846477428797716,9.956364470880626,2.3337654106274215,0.09658046434299931,0.0,0.0,0.0,18.169976560321413,13.233187774648762,53.067579646004205,1,1,1.1
2732,2025-03-16,2025-03-31,Tender,WF,ARN,PW,32.294,0.022938792525326653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022938792525326653,32.294,2,1,2.1
2543,2025-03-14,2025-03-31,Tender,AEG,ARN,PW,36.0,0.846477428797716,13.014124345832727,0.09658046434299931,7.0179318105608,1.9204223604882105,2.3337654106274215,0.0,17.034353025301325,25.229301820649873,53.03435302530133,2,2,2.2
3092,2025-03-13,2025-03-31,Tender,Jetex,ARN,PW,32.311507025438516,57.49839287354211,2.8536186796714027,0.0,0.0,0.0,0.0,0.0,0.0,60.352011553213515,32.311507025438516,2,3,2.3
2894,2025-03-17,2025-03-31,Tender,Royal Petrol,ASW,PM,-2.0203875470658463,0.1927119108349519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927119108349519,-2.0203875470658463,1,1,1.1
2311,2025-03-12,2025-03-31,Tender,UCIG,ASW,MP,-2.2958949398475523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2958949398475523,2,1,2.1
2419,2025-03-13,2025-03-31,Tender,CAC,ASW,MP,0.0,0.1927119108349519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927119108349519,0.0,2,2,2.2
3113,2025-03-13,2025-03-31,Tender,Jetex,ASW,MP,-0.4591789879695105,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.4591789879695105,2,3,2.3
2930,2025-03-13,2025-03-31,Tender,Ist Jet,ATH,PW,18.36715951878042,5.2145446552488215,1.911999706924568,12.862543482947093,5.758104509137661,0.0,0.0,0.0,0.0,25.74719235425814,18.36715951878042,1,1,1.1
2733,2025-03-16,2025-03-31,Tender,WF,ATH,PW,15.5,0.018984558921266097,2.505,20.990000000000002,6.061,0.0,0.0,6.055168688797994,0.0,35.630153247719264,15.5,1,2,1.2
2436,2025-03-13,2025-03-31,Tender,CAC,ATH,PW,17.448801542841398,1.7625160934741015,3.476363103499214,1.911999706924568,5.758104509137661,0.0,0.0,0.0,21.19830598704165,12.908983413035545,38.647107529883044,1,3,1.3
3263,2025-03-13,2025-03-31,Tender,Air BP,ATH,PW,14.969235007806043,1.7625160934741015,4.630913871068951,5.785655248415832,3.476363103499214,1.911999706924568,0.0,0.0,21.19830598704165,17.567448023382667,36.16754099484769,1,4,1.4
2544,2025-03-14,2025-03-31,Tender,AEG,ATH,PW,21.5,5.2145446552488215,6.268629281706943,1.911999706924568,0.0,0.0,0.0,0.0,21.009035397871635,13.395173643880334,42.509035397871635,1,5,1.5
3146,2025-03-13,2025-03-31,Tender,Jetex,ATH,PW,19.285517494719443,32.776196161263655,6.406918605665075,0.0,0.0,0.0,0.0,0.0,0.0,39.18311476692873,19.285517494719443,1,7,1.7
2317,2025-03-13,2025-03-31,Tender,UCIG,ATH,PW,29.387455230048673,1.7625160934741015,3.476363103499214,5.758104509137661,1.911999706924568,0.0,0.0,0.0,21.19830598704165,12.908983413035546,50.58576121709032,1,8,1.8
2907,2025-03-17,2025-03-31,Tender,Royal Petrol,ATH,PW,14.050877031867023,5.2145446552488215,2.155345124169513,6.268629281706943,25.412214286579253,5.209778104952568,0.0,0.0,20.990108338954634,44.2605114526571,35.04098537082166,1,9,1.9
2389,2025-03-07,2025-03-31,Tender,ASM,AUH,PM,28.92827624207916,1.102029571126825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102029571126825,28.92827624207916,1,1,1.1
2850,2025-03-17,2025-03-31,Tender,Royal Petrol,AUH,1/2M,28.560933051703554,1.102029571126825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102029571126825,28.560933051703554,2,1,2.1
2365,2025-03-13,2025-03-31,Tender,UCIG,AUH,1/2M,29.15786573606392,1.102029571126825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102029571126825,29.15786573606392,2,2,2.2
2963,2025-03-13,2025-03-31,Tender,Ist Jet,AUH,1/2M,33.060887133804755,1.102029571126825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102029571126825,33.060887133804755,2,3,2.3
3227,2025-03-13,2025-03-31,Tender,Jetex,AUH,1/2M,33.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,33.0,2,4,2.4
2545,2025-03-14,2025-03-31,Tender,AEG,AUH,1/2M,34.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,34.0,2,5,2.5
2734,2025-03-16,2025-03-31,Tender,WF,AUH,1/2M,41.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,41.0,2,6,2.6
2929,2025-03-13,2025-03-31,Tender,Ist Jet,AYT,1/2M,15.612085590963357,0.8690907758748035,9.672971518024104,1.911999706924568,2.2886061637614517,2.0858178620995287,5.289741941408761,0.0,0.0,22.11822796809322,15.612085590963357,1,1,1.1
2377,2025-03-13,2025-03-31,Tender,UCIG,AYT,1/2M,16.98962255487189,2.0858178620995287,1.911999706924568,9.672971518024104,0.8690907758748035,5.289741941408761,2.2886061637614517,0.0,0.0,22.118227968093215,16.98962255487189,1,2,1.2
2868,2025-03-17,2025-03-31,Tender,Royal Petrol,AYT,1/2M,15.474331894572506,5.289741941408761,0.8690907758748035,1.911999706924568,2.0858178620995287,8.148588076166543,2.2886061637614517,4.577212327522903,0.0,25.17105685375856,15.474331894572506,1,3,1.3
3210,2025-03-13,2025-03-31,Tender,Jetex,AYT,1/2M,18.5,20.1,2.7008981522139677,0.0,0.0,0.0,0.0,0.0,0.0,22.800898152213968,18.5,1,4,1.4
3264,2025-03-13,2025-03-31,Tender,Air BP,BAH,1/2M,29.846634218018185,4.959133070070714,0.918357975939021,4.215263109560106,0.0,0.0,0.0,0.0,0.0,10.092754155569843,29.846634218018185,1,1,1.1
2546,2025-03-14,2025-03-31,Tender,AEG,BAH,1/2M,30.599999999999998,5.4,1.0,4.590000000000001,0.0,0.0,0.0,0.0,0.0,10.990000000000002,30.599999999999998,1,2,1.2
2863,2025-03-17,2025-03-31,Tender,Royal Petrol,BAH,1/2M,34.759849389291944,0.918357975939021,4.215263109560106,4.959133070070714,0.0,0.0,0.0,0.0,0.0,10.092754155569843,34.759849389291944,1,3,1.3
2735,2025-03-16,2025-03-31,Tender,WF,BAH,1/2M,45.433,1.0,4.590000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.590000000000001,45.433,1,4,1.4
3223,2025-03-13,2025-03-31,Tender,Jetex,BAH,PW,35.81596106162182,10.09275415556984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09275415556984,35.81596106162182,5,1,5.1
2296,2025-03-12,2025-03-31,Tender,UCIG,BAH,PW,37.19349802553035,4.959133070070714,0.918357975939021,4.215263109560106,0.0,0.0,0.0,0.0,0.0,10.092754155569843,37.19349802553035,5,2,5.2
2400,2025-03-13,2025-03-31,Tender,CAC,BAH,PW,34.897603085682796,4.959133070070714,4.215263109560106,100.0,0.0,0.0,0.0,0.0,0.0,109.17439617963082,34.897603085682796,5,3,5.3
3203,2025-03-13,2025-03-31,Tender,Jetex,BAY,PW,91.82148868971403,4.458146182156945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458146182156945,91.82148868971403,1,1,1.1
2547,2025-03-14,2025-03-31,Tender,AEG,BAY,PW,97.88752314101218,2.7810848787731723,0.11124339515092692,1.0447715469511571,0.0,0.0,0.0,0.0,0.0,3.9370998208752566,97.88752314101218,1,2,1.2
3014,2025-03-13,2025-03-31,Tender,Ist Jet,BCN,PM,16.09556116920136,1.3140652531227028,1.275129986363512,1.3474386061882584,0.0,0.0,0.0,0.0,13.848838277160437,3.936633845674473,29.9443994463618,1,1,1.1
3265,2025-03-13,2025-03-31,Tender,Air BP,BCN,PW,11.541525503617391,1.275129986363512,1.4946623163494872,1.3474386061882584,0.6952727586110724,0.0,0.0,0.0,13.248941241901031,4.81250366751233,24.790466745518422,2,1,2.1
3124,2025-03-13,2025-03-31,Tender,Jetex,BCN,PW,14.624364303800492,15.616667817152619,1.2830285378305284,0.0,0.0,0.0,0.0,0.0,0.0,16.89969635498315,14.624364303800492,2,2,2.2
2548,2025-03-14,2025-03-31,Tender,AEG,BCN,PW,16.479351308191365,1.3220608882607512,1.4946623163494872,1.3474386061882584,0.0,0.0,0.0,0.0,14.763105955261148,4.164161810798497,31.242457263452515,2,3,2.3
2357,2025-03-13,2025-03-31,Tender,UCIG,BCN,PW,11.715343658792353,1.275129986363512,1.4946623163494872,1.9467633379595597,0.0,0.0,0.0,0.0,20.062682452021562,4.716555640672559,31.778026110813915,2,4,2.4
2993,2025-03-13,2025-03-31,Tender,Ist Jet,BEG,PW,80.58368366484143,1.4838784290030929,0.3028323324496108,0.0,0.0,0.0,0.0,0.0,0.0,1.7867107614527036,80.58368366484143,1,1,1.1
2431,2025-03-13,2025-03-31,Tender,CAC,BER,PM,20.858178620995286,0.9907634844972761,12.16727086224725,1.6837790221219757,6.848435313893452,0.0,0.0,0.0,0.0,21.69024868275995,20.858178620995286,1,1,1.1
2859,2025-03-17,2025-03-31,Tender,Royal Petrol,BER,PM,18.25090629337088,0.9907634844972761,6.848435313893452,4.08287832716289,0.0,0.0,0.0,0.0,19.119997069245677,11.922077125553617,37.37090336261656,1,2,1.2
2291,2025-03-12,2025-03-31,Tender,Q8,BER,PM,19.050469807175695,6.848435313893452,11.440710973615912,0.9907634844972761,0.0,0.0,0.0,0.0,20.44122363036159,19.27990977200664,39.491693437537286,1,3,1.3
2370,2025-03-13,2025-03-31,Tender,UCIG,BER,PM,1747.6352282119572,6.848379098172467,0.9907245844430159,15.914776379832858,2.994110773252786,0.0,0.0,0.0,19.120213059050418,26.747990835701128,1766.7554412710076,1,4,1.4
2487,2025-03-14,2025-03-31,Tender,Total,BER,PW,14.148797831241804,6.848435313893452,0.9907634859974549,0.0,0.0,0.0,0.0,0.0,15.141647133601179,7.839198799890907,29.290444964842983,5,1,5.1
2549,2025-03-14,2025-03-31,Tender,AEG,BER,PW,19.171512251167503,6.848435313893452,0.9907634859974549,2.03367241554704,2.0082317531871867,0.0,0.0,0.0,16.277270668621266,11.881102968625132,35.44878291978877,5,3,5.3
3266,2025-03-13,2025-03-31,Tender,Air BP,BER,PW,22.596360172744895,0.9907634844972761,1.8699582738406038,6.848435313893452,0.0,0.0,0.0,0.0,18.169976560321413,9.709157072231331,40.76633673306631,5,4,5.4
3033,2025-03-13,2025-03-31,Tender,Jetex,BER,PW,24.94916272119316,25.683193314133916,1.687589708560661,0.0,0.0,0.0,0.0,0.0,0.0,27.370783022694578,24.94916272119316,5,5,5.5
2736,2025-03-16,2025-03-31,Tender,WF,BER,PW,24.242,1.1520000000000001,2.198,18.182000000000002,7.960000000000001,0.0,0.0,0.0,0.0,29.492000000000004,24.242,5,6,5.6
2488,2025-03-14,2025-03-31,Tender,Total,BEY,PM,37.65267701349986,2.2958949398475523,14.693727615024336,0.0,0.0,0.0,0.0,0.0,0.0,16.98962255487189,37.65267701349986,1,1,1.1
2340,2025-03-13,2025-03-31,Tender,UCIG,BEY,PM,39.71898245936266,2.2958949398475523,14.693727615024336,0.0,0.0,0.0,0.0,0.0,0.0,16.98962255487189,39.71898245936266,1,2,1.2
3226,2025-03-13,2025-03-31,Tender,Jetex,BEY,PM,29.387455230048673,39.94857195334741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.94857195334741,29.387455230048673,1,3,1.3
2966,2025-03-13,2025-03-31,Tender,Ist Jet,BEY,PM,40.40775094131693,14.693727615024336,2.2958949398475523,13.775369639085316,0.0,0.0,0.0,0.0,0.0,30.764992193957205,40.40775094131693,1,4,1.4
2888,2025-03-17,2025-03-31,Tender,Royal Petrol,BEY,PM,41.280191018459,2.2958949398475523,14.693727615024336,13.775369639085316,0.0,0.0,0.0,0.0,0.0,30.764992193957205,41.280191018459,1,5,1.5
2550,2025-03-14,2025-03-31,Tender,AEG,BEY,PM,43.75,2.5,15.0,16.0,0.0,0.0,0.0,0.0,0.0,33.5,43.75,1,6,1.6
2467,2025-03-13,2025-03-31,Tender,CAC,BEY,PM,45.91789879695105,2.2958949398475523,14.693727615024336,15.0,0.0,0.0,0.0,0.0,0.0,31.98962255487189,45.91789879695105,1,7,1.7
2737,2025-03-16,2025-03-31,Tender,WF,BEY,PM,48.382999999999996,15.0,2.5,16.0,0.0,0.0,0.0,0.0,0.0,33.5,48.382999999999996,1,8,1.8
2738,2025-03-16,2025-03-31,Tender,WF,BFS,PM,37.699,2.669,1.2109999999999999,6.664000000000001,1.7413,2.2399999999999998,2.390948700089336,0.0,0.0,16.916248700089337,37.699,1,1,1.1
3056,2025-03-13,2025-03-31,Tender,Jetex,BFS,PW,24.566075856368812,30.875195151069885,2.7353390972548195,0.0,0.0,0.0,0.0,0.0,0.0,33.610534248324704,24.566075856368812,2,1,2.1
2551,2025-03-14,2025-03-31,Tender,AEG,BFS,PW,42.0,7.589417210883533,2.546127064296411,2.6930190103135114,2.723377215230465,0.0,0.0,0.0,20.81976480870162,15.551940500723921,62.81976480870162,2,2,2.2
3267,2025-03-13,2025-03-31,Tender,Air BP,BGY,PM,20.162906000295443,1.8743854581447064,0.9241779437537946,6.466035372508539,0.0,0.0,0.0,0.0,13.059670652731016,9.264598774407041,33.22257665302646,1,1,1.1
2552,2025-03-14,2025-03-31,Tender,AEG,BGY,PM,34.815146216913966,2.8158541138343636,0.3422881273162202,0.0,0.0,0.0,0.0,0.0,10.429089310497643,3.1581422411505837,45.24423552741161,1,2,1.2
2458,2025-03-13,2025-03-31,Tender,CAC,BGY,PM,36.50181258674176,2.8158541138343636,0.0,0.0,0.0,0.0,0.0,0.0,10.429089310497643,2.8158541138343636,46.9309018972394,1,3,1.3
2986,2025-03-13,2025-03-31,Tender,Ist Jet,BGY,PM,35.111267345342064,5.2145446552488215,2.8158541138343636,0.0,0.0,0.0,0.0,0.0,10.429089310497643,8.030398769083185,45.54035665583971,1,4,1.4
3170,2025-03-13,2025-03-31,Tender,Jetex,BGY,PM,48.588431824987815,19.412797228001008,0.42786015914527525,0.0,0.0,0.0,0.0,0.0,0.0,19.840657387146283,48.588431824987815,1,5,1.5
2489,2025-03-14,2025-03-31,Tender,Total,BGY,PW,25.725086965894185,2.8158541138343636,1.0696503978631882,0.0,0.0,0.0,0.0,0.0,11.819634551897328,3.885504511697552,37.544721517791515,6,1,6.1
2739,2025-03-16,2025-03-31,Tender,WF,BGY,PW,40.806,2.02,4.445,12.121,10.101,0.8951203120577619,0.0,0.0,0.0,29.58212031205776,40.806,6,2,6.2
3057,2025-03-13,2025-03-31,Tender,Jetex,BHX,PW,23.877307374414546,19.395720451832126,1.3025183928989026,0.0,0.0,0.0,0.0,0.0,0.0,20.69823884473103,23.877307374414546,1,1,1.1
2553,2025-03-14,2025-03-31,Tender,AEG,BHX,PW,37.0,1.8361493224335255,2.0,1.5233241844750693,0.0,0.0,0.0,0.0,16.277270668621266,5.359473506908595,53.27727066862127,1,2,1.2
2740,2025-03-16,2025-03-31,Tender,WF,BHX,PW,40.093,1.82,1.2109999999999999,17.413,0.8627106582075315,0.0,0.0,0.0,0.0,21.306710658207532,40.093,1,3,1.3
2378,2025-03-13,2025-03-31,Tender,UCIG,BJV,1/2M,19.055928000734685,2.0858178620995287,5.289741941408761,0.0,0.0,0.0,0.0,0.0,0.0,7.37555980350829,19.055928000734685,1,1,1.1
2869,2025-03-17,2025-03-31,Tender,Royal Petrol,BJV,1/2M,20.157957571861512,2.0892942252030275,5.280558361649371,0.0,0.0,0.0,0.0,0.0,0.0,7.3698525868523985,20.157957571861512,1,2,1.2
2938,2025-03-13,2025-03-31,Tender,Ist Jet,BJV,1/2M,20.203875470658463,2.0858178620995287,5.289741941408761,0.0,0.0,0.0,0.0,0.0,0.0,7.37555980350829,20.203875470658463,1,3,1.3
